iter	Passed	Remaining
192	14556	60866
193	14634	60802
194	14712	60734
195	14782	60637
196	14855	60552
197	14939	60513
198	15008	60409
199	15082	60329
200	15159	60261
201	15233	60181
202	15314	60127
203	15399	60086
204	15475	60014
205	15556	59958
206	15633	59892
207	15703	59794
208	15777	59714
209	15855	59647
210	15936	59593
211	16016	59531
212	16096	59472
213	16171	59397
214	16249	59329
215	16325	59257
216	16400	59177
217	16476	59104
218	16555	59041
219	16630	58962
220	16704	58881
221	16783	58818
222	16865	58765
223	16941	58690
224	17013	58601
225	17091	58534
226	17158	58430
227	17236	58363
228	17304	58261
229	17377	58177
230	17456	58114
231	17532	58039
232	17604	57951
233	17674	57856
234	17746	57771
235	17824	57704
236	17912	57669
237	17979	57563
238	18054	57488
239	18134	57425
240	18205	57335
241	18280	57258
242	18357	57187
243	18433	57114
244	18503	57020
245	18580	56949
246	18653	56867
247	18728	56789
248	18806	56721
249	18880	56641
250	18954	56561
251	19033	56496
252	19111	56428
253	19189	56358
254	19264	56281
255	19338	56202
256	19422	56151
257	19492	56060
258	19565	55977
259	19644	55910
260	19714	55820
261	19788	55739
262	19870	55683
263	19948	55612
264	20026	55545
265	20101	55467
266	20180	55401
267	20255	55325
268	20331	55249
269	20410	55183
270	20488	55115
271	20564	55039
272	20639	54964
273	20709	54871
274	20783	54792
275	20869	54745
276	20941	54659
277	21024	54603
278	21102	54532
279	21175	54451
280	21247	54365
281	21319	54281
282	21396	54208
283	21473	54136
284	21553	54072
285	21627	53993
286	21702	53916
287	21781	53848
288	21867	53798
289	21942	53720
290	22020	53651
291	22105	53597
292	22181	53523
293	22260	53455
294	22336	53381
295	22414	53309
296	22488	53229
297	22562	53150
298	22636	53071
299	22715	53002
300	22785	52913
301	22868	52855
302	22951	52794
303	23031	52730
304	23108	52656
305	23186	52586
306	23273	52536
307	23353	52468
308	23430	52397
309	23504	52316
310	23579	52237
311	23660	52174
312	23734	52094
313	23802	52001
314	23893	51959
315	23964	51872
316	24038	51793
317	24111	51710
318	24184	51629
319	24260	51552
320	24338	51482
321	24414	51406
322	24488	51327
323	24569	51262
324	24639	51175
325	24714	51096
326	24794	51029
327	24877	50968
328	24955	50897
329	25036	50831
330	25113	50757
331	25179	50661
332	25257	50590
333	25333	50514
334	25407	50434
335	25489	50371
336	25562	50290
337	25634	50208
338	25712	50135
339	25780	50045
340	25874	50003
341	25956	49939
342	26035	49869
343	26120	49810
344	26192	49728
345	26269	49654
346	26343	49574
347	26413	49487
348	26489	49412
349	26563	49331
350	26642	49262
351	26710	49171
352	26789	49101
353	26868	49031
354	26937	48943
355	27014	48869
356	27094	48800
357	27172	48728
358	27246	48649
359	27325	48578
360	27393	48489
361	27467	48410
362	27545	48336
363	27621	48261
364	27698	48187
365	27772	48108
366	27853	48041
367	27925	47959
368	28007	47893
369	28082	47815
370	28155	47735
371	28240	47675
372	28315	47597
373	28389	47518
374	28467	47446
375	28541	47366
376	28616	47289
377	28696	47219
378	28771	47142
379	28862	47091
380	28939	47016
381	29015	46941
382	29091	46865
383	29170	46794
384	29244	46716
385	29315	46631
386	29396	46562
387	29477	46495
388	29543	46403
389	29622	46333
390	29690	46243
391	29760	46159
392	29849	46103
393	29925	46026
394	30004	45955
395	30081	45881
396	30156	45803
397	30232	45728
398	30310	45655
399	30378	45567
400	30452	45488
401	30530	45415
402	30608	45342
403	30682	45264
404	30761	45193
405	30836	45115
406	30905	45028
407	30987	44962
408	31063	44885
409	31140	44811
410	31223	44746
411	31302	44674
412	31375	44594
413	31454	44522
414	31531	44447
415	31605	44368
416	31685	44298
417	31759	44219
418	31845	44158
419	31926	44089
420	31994	44001
421	32067	43922
422	32147	43850
423	32226	43780
424	32294	43693
425	32368	43613
426	32442	43535
427	32518	43459
428	32595	43384
429	32666	43301
430	32747	43232
431	32834	43170
432	32906	43090
433	32981	43012
434	33059	42938
435	33138	42867
436	33215	42792
437	33295	42721
438	33369	42642
439	33444	42565
440	33524	42494
441	33598	42416
442	33675	42341
443	33754	42269
444	33838	42202
445	33915	42128
446	33995	42056
447	34069	41978
448	34143	41900
449	34225	41830
450	34299	41753
451	34377	41679
452	34455	41605
453	34528	41525
454	34602	41446
455	34688	41382
456	34763	41305
457	34845	41236
458	34927	41167
459	35004	41091
460	35079	41014
461	35159	40942
462	35238	40870
463	35312	40792
464	35390	40717
465	35457	40631
466	35523	40543
467	35601	40470
468	35691	40409
469	35764	40329
470	35850	40265
471	35925	40188
472	36004	40114
473	36086	40045
474	36161	39967
475	36236	39890
476	36316	39818
477	36385	39734
478	36458	39655
479	36542	39588
480	36618	39511
481	36692	39432
482	36771	39360
483	36851	39287
484	36925	39209
485	37002	39134
486	37082	39062
487	37151	38979
488	37230	38904
489	37304	38826
490	37378	38748
491	37458	38676
492	37534	38599
493	37612	38526
494	37692	38454
495	37761	38370
496	37840	38297
497	37919	38223
498	37994	38147
499	38070	38070
500	38151	37999
501	38225	37920
502	38299	37842
503	38378	37769
504	38453	37691
505	38524	37611
506	38602	37536
507	38679	37461
508	38759	37388
509	38847	37324
510	38922	37246
511	38998	37170
512	39080	37099
513	39155	37022
514	39231	36946
515	39321	36883
516	39399	36808
517	39475	36732
518	39553	36657
519	39626	36578
520	39701	36500
521	39777	36424
522	39864	36358
523	39940	36281
524	40020	36208
525	40094	36130
526	40166	36050
527	40245	35976
528	40319	35898
529	40395	35822
530	40474	35748
531	40542	35665
532	40616	35587
533	40698	35515
534	40771	35437
535	40854	35366
536	40936	35295
537	41013	35219
538	41088	35142
539	41165	35067
540	41231	34982
541	41297	34897
542	41376	34823
543	41455	34749
544	41529	34671
545	41611	34599
546	41683	34520
547	41756	34441
548	41843	34374
549	41917	34296
550	41998	34223
551	42079	34151
552	42155	34075
553	42230	33997
554	42308	33922
555	42383	33845
556	42458	33768
557	42540	33696
558	42613	33618
559	42685	33538
560	42771	33470
561	42860	33403
562	42929	33322
563	43010	33249
564	43087	33173
565	43163	33097
566	43251	33029
567	43328	32953
568	43401	32875
569	43481	32801
570	43548	32718
571	43622	32640
572	43705	32569
573	43791	32500
574	43858	32417
575	43936	32341
576	44011	32264
577	44082	32184
578	44159	32108
579	44231	32029
580	44308	31954
581	44388	31880
582	44462	31802
583	44533	31722
584	44613	31648
585	44686	31570
586	44756	31489
587	44845	31422
588	44922	31346
589	44998	31270
590	45078	31196
591	45154	31119
592	45228	31042
593	45310	30969
594	45386	30893
595	45463	30817
596	45542	30743
597	45618	30666
598	45691	30588
599	45774	30516
600	45854	30442
601	45927	30363
602	46013	30293
603	46087	30216
604	46160	30137
605	46237	30062
606	46311	29984
607	46386	29906
608	46464	29831
609	46533	29750
610	46613	29676
611	46688	29599
612	46764	29523
613	46851	29453
614	46932	29380
615	47006	29302
616	47084	29227
617	47162	29152
618	47237	29075
619	47308	28995
620	47389	28921
621	47466	28846
622	47544	28770
623	47620	28694
624	47687	28612
625	47762	28535
626	47851	28466
627	47928	28390
628	48005	28315
629	48083	28239
630	48163	28165
631	48233	28085
632	48313	28010
633	48388	27934
634	48465	27858
635	48541	27781
636	48610	27701
637	48689	27626
638	48765	27549
639	48845	27475
640	48921	27399
641	49000	27324
642	49075	27247
643	49153	27171
644	49230	27095
645	49305	27018
646	49385	26944
647	49460	26867
648	49528	26786
649	49608	26712
650	49690	26638
651	49768	26563
652	49846	26488
653	49923	26412
654	49995	26333
655	50069	26256
656	50152	26183
657	50228	26106
658	50305	26030
659	50383	25955
660	50461	25879
661	50542	25805
662	50621	25730
663	50705	25658
664	50779	25580
665	50860	25506
666	50934	25428
667	51007	25351
668	51095	25280
669	51173	25204
670	51259	25133
671	51332	25055
672	51402	24975
673	51478	24898
674	51556	24823
675	51635	24748
676	51704	24668
677	51796	24599
678	51873	24523
679	51941	24443
680	52021	24368
681	52096	24291
682	52172	24214
683	52254	24141
684	52331	24064
685	52407	23988
686	52483	23911
687	52562	23836
688	52642	23761
689	52721	23686
690	52809	23615
691	52879	23535
692	52958	23460
693	53033	23383
694	53106	23305
695	53185	23230
696	53263	23154
697	53338	23077
698	53418	23003
699	53495	22926
700	53569	22849
701	53648	22773
702	53719	22695
703	53798	22619
704	53884	22547
705	53958	22470
706	54031	22392
707	54108	22316
708	54181	22238
709	54254	22160
710	54340	22087
711	54418	22011
712	54494	21935
713	54574	21860
714	54648	21783
715	54721	21705
716	54812	21634
717	54879	21554
718	54956	21478
719	55034	21402
720	55108	21324
721	55181	21247
722	55261	21172
723	55335	21094
724	55411	21018
725	55495	20944
726	55571	20867
727	55646	20791
728	55723	20714
729	55807	20641
730	55882	20564
731	55969	20491
732	56045	20414
733	56121	20338
734	56200	20262
735	56274	20185
736	56347	20107
737	56432	20034
738	56511	19958
739	56587	19882
740	56667	19806
741	56745	19730
742	56824	19655
743	56906	19580
744	56980	19503
745	57058	19427
746	57137	19351
747	57211	19274
748	57289	19198
749	57368	19122
750	57443	19045
751	57514	18967
752	57599	18893
753	57673	18816
754	57751	18740
755	57829	18664
756	57904	18587
757	57971	18508
758	58051	18432
759	58116	18352
760	58188	18274
761	58274	18201
762	58349	18124
763	58424	18047
764	58504	17972
765	58578	17894
766	58652	17817
767	58736	17743
768	58816	17667
769	58891	17590
770	58975	17516
771	59045	17438
772	59114	17359
773	59194	17284
774	59270	17207
775	59348	17131
776	59428	17056
777	59504	16979
778	59578	16902
779	59660	16827
780	59732	16749
781	59811	16673
782	59890	16598
783	59971	16522
784	60048	16446
785	60128	16370
786	60201	16293
787	60272	16215
788	60350	16139
789	60426	16062
790	60505	15986
791	60585	15911
792	60661	15834
793	60746	15760
794	60826	15684
795	60899	15607
796	60972	15530
797	61053	15454
798	61128	15377
799	61207	15301
800	61284	15225
801	61360	15148
802	61440	15073
803	61519	14997
804	61592	14920
805	61669	14843
806	61759	14770
807	61832	14692
808	61906	14615
809	61987	14540
810	62063	14463
811	62137	14386
812	62216	14310
813	62301	14236
814	62378	14159
815	62458	14083
816	62532	14006
817	62606	13929
818	62686	13853
819	62767	13778
820	62846	13702
821	62925	13626
822	62997	13548
823	63071	13471
824	63154	13396
825	63227	13319
826	63302	13242
827	63382	13166
828	63449	13087
829	63521	13010
830	63617	12937
831	63694	12861
832	63779	12786
833	63863	12711
834	63939	12634
835	64015	12558
836	64098	12482
837	64172	12405
838	64247	12328
839	64329	12253
840	64407	12176
841	64481	12099
842	64555	12022
843	64642	11948
844	64714	11870
845	64800	11795
846	64874	11718
847	64948	11641
848	65029	11565
849	65104	11489
850	65182	11412
851	65265	11337
852	65342	11260
853	65417	11183
854	65496	11107
855	65574	11031
856	65649	10954
857	65740	10880
858	65815	10803
859	65888	10726
860	65968	10650
861	66042	10572
862	66118	10496
863	66196	10419
864	66270	10342
865	66343	10265
866	66423	10189
867	66502	10113
868	66579	10036
869	66654	9959
870	66737	9884
871	66804	9806
872	66890	9730
873	66964	9653
874	67046	9578
875	67129	9502
876	67203	9425
877	67278	9348
878	67363	9273
879	67437	9195
880	67515	9119
881	67600	9044
882	67677	8967
883	67762	8891
884	67844	8815
885	67921	8739
886	67994	8662
887	68073	8585
888	68150	8509
889	68227	8432
890	68303	8355
891	68381	8279
892	68456	8202
893	68536	8126
894	68615	8049
895	68691	7973
896	68785	7898
897	68855	7821
898	68931	7744
899	69016	7668
900	69090	7591
901	69167	7514
902	69248	7438
903	69325	7361
904	69394	7284
905	69466	7207
906	69542	7130
907	69617	7053
908	69700	6977
909	69781	6901
910	69858	6824
911	69938	6748
912	70014	6671
913	70091	6595
914	70169	6518
915	70249	6442
916	70325	6365
917	70405	6288
918	70475	6211
919	70552	6134
920	70633	6058
921	70716	5982
922	70794	5905
923	70880	5830
924	70956	5753
925	71035	5676
926	71112	5600
927	71190	5523
928	71265	5446
929	71349	5370
930	71422	5293
931	71498	5216
932	71578	5140
933	71651	5063
934	71734	4986
935	71817	4910
936	71897	4834
937	71971	4757
938	72048	4680
939	72122	4603
940	72196	4526
941	72277	4450
942	72351	4373
943	72428	4296
944	72506	4219
945	72586	4143
946	72663	4066
947	72748	3990
948	72825	3913
949	72901	3836
950	72980	3760
951	73053	3683
952	73122	3606
953	73203	3529
954	73281	3453
955	73355	3376
956	73436	3299
957	73511	3222
958	73581	3145
959	73667	3069
960	73750	2992
961	73825	2916
962	73905	2839
963	73984	2762
964	74058	2686
965	74143	2609
966	74221	2532
967	74298	2456
968	74376	2379
969	74453	2302
970	74529	2225
971	74614	2149
972	74686	2072
973	74764	1995
974	74842	1919
975	74919	1842
976	74996	1765
977	75071	1688
978	75143	1611
979	75211	1534
980	75289	1458
981	75364	1381
982	75444	1304
983	75526	1228
984	75603	1151
985	75674	1074
986	75765	997
987	75839	921
988	75922	844
989	76005	767
990	76085	690
991	76161	614
992	76250	537
993	76329	460
994	76404	383
995	76483	307
996	76557	230
997	76633	153
998	76725	76
999	76800	0
