iter	Logloss
0	0.6210503414
1	0.5671518331
2	0.5297364915
3	0.4993508779
4	0.4791193051
5	0.4634458946
6	0.4498049006
7	0.4401261084
8	0.4323900187
9	0.4270296832
10	0.4225505263
11	0.4192818683
12	0.416418059
13	0.4143495077
14	0.412211513
15	0.410775004
16	0.4097800348
17	0.4089028783
18	0.4080569201
19	0.4073837254
20	0.4069905911
21	0.4063124818
22	0.4059225181
23	0.4055270424
24	0.4052883057
25	0.405080828
26	0.4048868978
27	0.4047796001
28	0.4045065296
29	0.4043415303
30	0.4041313667
31	0.4040000395
32	0.4038976574
33	0.403798758
34	0.4037132081
35	0.4036163548
36	0.403517835
37	0.4034060753
38	0.4033473815
39	0.4032619541
40	0.4030774281
41	0.4029564928
42	0.4028881045
43	0.4027862203
44	0.402751288
45	0.4026745513
46	0.4026203997
47	0.4025886112
48	0.4025536684
49	0.402506886
50	0.4024878197
51	0.4024293386
52	0.4024017465
53	0.4023820403
54	0.4023538939
55	0.4023258562
56	0.4022421918
57	0.402185821
58	0.4021771851
59	0.402150348
60	0.4021001453
61	0.4020620441
62	0.4020394231
63	0.4020007674
64	0.4019992021
65	0.4019727127
66	0.4019419078
67	0.4019204333
68	0.4018944798
69	0.4018489106
70	0.4018309949
71	0.4017852952
72	0.4017639218
73	0.4017380932
74	0.4017197192
75	0.4016719133
76	0.4016467708
77	0.4016280409
78	0.4016151875
79	0.4015952289
80	0.4015833277
81	0.4015537796
82	0.401536462
83	0.401506231
84	0.4015031029
85	0.4014934282
86	0.4014722363
87	0.4014456919
88	0.4014323498
89	0.40141091
90	0.4013910517
91	0.4013792622
92	0.4013511574
93	0.4013368188
94	0.4013078827
95	0.4012846437
96	0.4012535848
97	0.4012311813
98	0.4012216659
99	0.4011865044
100	0.401148212
101	0.4011336322
102	0.4011114382
103	0.4010820301
104	0.4010591408
105	0.4010463202
106	0.4010318235
107	0.401019948
108	0.4009894252
109	0.4009709255
110	0.40095957
111	0.4009476398
112	0.4009335891
113	0.4009229364
114	0.4009016939
115	0.400886091
116	0.4008699796
117	0.40084726
118	0.4008277196
119	0.4008123343
120	0.4008003501
121	0.4007788175
122	0.4007671315
123	0.4007597894
124	0.4007383921
125	0.4007249018
126	0.4007111125
127	0.4006793167
128	0.4006610289
129	0.4006397632
130	0.4006299652
131	0.4006166493
132	0.4005905088
133	0.4005764187
134	0.4005582945
135	0.4005345054
136	0.4005198147
137	0.400499458
138	0.40048061
139	0.4004641532
140	0.4004396186
141	0.4004268473
142	0.4004099653
143	0.4003919491
144	0.4003734718
145	0.4003527495
146	0.4003279207
147	0.4003129432
148	0.4002849299
149	0.400266363
150	0.4002528746
151	0.4002332515
152	0.4002036999
153	0.4001895405
154	0.4001742984
155	0.400159565
156	0.4001438241
157	0.4001198799
158	0.4001084099
159	0.4000817871
160	0.4000675606
161	0.4000554705
162	0.400036953
163	0.4000238866
164	0.4000031053
165	0.3999853334
166	0.3999730975
167	0.3999615175
168	0.3999514061
169	0.3999370653
170	0.3999204369
171	0.3999081505
172	0.399889676
173	0.3998723375
174	0.3998554617
175	0.3998398139
176	0.3998278176
177	0.3998046468
178	0.3997875828
179	0.3997688258
180	0.3997496004
181	0.399740018
182	0.3997175377
183	0.3996995815
184	0.3996866587
185	0.3996730563
186	0.3996576516
187	0.3996399568
188	0.3996236981
189	0.3996076416
190	0.3995950881
191	0.3995772034
192	0.3995622681
193	0.3995454155
194	0.399530835
195	0.3995178395
196	0.39950863
197	0.3994903211
198	0.3994740315
199	0.3994614532
200	0.3994473472
201	0.3994356896
202	0.3994214812
203	0.399409882
204	0.3993964329
205	0.3993834262
206	0.3993686413
207	0.3993526466
208	0.399337288
209	0.3993234414
210	0.3993064507
211	0.3992950476
212	0.3992839646
